Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Velocity (cm/s)
25.550	-41.372
25.567	-42.393
25.583	-42.904
25.600	-44.717
25.617	-44.947
25.633	-37.030
25.650	-11.492
25.667	-30.646
25.683	-17.902
25.700	-12.003
25.717	-15.834
25.733	-11.748
25.750	-6.921
25.767	-1.532
25.783	5.363
25.800	10.700
25.817	17.111
25.833	21.707
25.850	25.768
25.867	29.624
25.883	32.433
25.900	29.854
25.917	28.858
25.933	42.138
25.950	43.645
25.967	42.649
25.983	34.962
26.000	30.901
26.017	38.282
26.033	24.772
26.050	32.433
26.067	27.811
26.083	23.495
26.100	17.877
26.117	12.233
26.133	6.640
26.150	11.237
26.167	-4.878
26.183	-10.471
26.200	-16.344
26.217	-7.406
26.233	-24.798
26.250	-29.624
26.267	-34.477
26.283	-38.052
26.300	-40.861
26.317	-42.649
26.333	-43.185
26.350	-43.415
26.367	-41.883
26.383	-40.861
26.400	-39.073
26.417	-36.009
26.433	-32.459
26.450	-27.581
26.467	-22.474
26.483	-17.877
26.500	-15.093
26.517	-21.452
26.533	-11.748
26.550	5.108
26.567	11.722
26.583	18.132
26.600	25.027
26.617	28.322
26.633	31.923
26.650	34.732
26.667	38.026
26.683	40.095
26.700	41.857
26.717	42.393
26.733	42.879
26.750	42.138
26.767	40.350
26.783	38.282
26.800	35.243
26.817	31.642
26.833	27.070
26.850	22.474
26.867	17.340
26.883	12.258
26.900	5.874
26.917	0.485
26.933	-5.108
26.950	-11.748
26.967	-16.600
26.983	-22.499
27.000	-27.581
27.017	-32.178
27.033	-36.520
27.050	-39.840
27.067	-41.116
27.083	-31.438
