Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
15.100	20.768	0.239
15.117	21.206	0.239
15.133	21.742	0.239
15.150	22.372	0.239
15.167	23.078	0.239
15.183	23.840	0.239
15.200	24.636	0.239
15.217	25.449	0.239
15.233	26.202	0.239
15.250	26.819	0.239
15.267	27.683	0.239
15.283	28.496	0.239
15.300	29.236	0.239
15.317	29.725	0.239
15.333	30.304	0.239
15.350	30.848	0.239
15.367	31.125	0.239
15.383	31.474	0.239
15.400	31.716	0.239
15.417	31.853	0.239
15.433	31.865	0.239
15.450	31.758	0.239
15.467	31.554	0.239
15.483	31.231	0.239
15.500	30.788	0.239
15.517	30.268	0.239
15.533	29.643	0.239
15.550	28.949	0.239
15.567	28.195	0.239
15.583	27.583	0.239
15.600	26.769	0.239
15.617	26.203	0.239
15.633	25.365	0.239
15.650	24.522	0.239
15.667	23.713	0.239
15.683	23.109	0.239
15.700	22.555	0.239
15.717	21.972	0.239
15.733	21.444	0.239
15.750	20.989	0.239
15.767	20.631	0.239
15.783	20.375	0.239
15.800	20.222	0.239
15.817	20.141	0.239
15.833	19.979	0.239
15.850	20.132	0.239
15.867	20.456	0.239
15.883	20.605	0.239
15.900	20.949	0.239
15.917	21.617	0.239
15.933	22.353	0.239
15.950	23.098	0.239
15.967	23.881	0.239
15.983	24.698	0.239
16.000	25.532	0.239
16.017	26.366	0.239
16.033	27.192	0.239
16.050	27.983	0.239
16.067	28.736	0.239
16.083	29.447	0.239
16.100	30.072	0.239
16.117	30.694	0.239
16.133	31.170	0.239
16.150	31.553	0.239
16.167	31.800	0.239
16.183	31.936	0.239
16.200	31.953	0.239
16.217	31.821	0.239
16.233	31.612	0.239
16.250	31.233	0.239
16.267	30.688	0.239
16.283	30.178	0.239
16.300	29.565	0.239
16.317	28.892	0.239
16.333	28.164	0.239
16.350	27.385	0.239
16.367	26.576	0.239
16.383	25.751	0.239
16.400	24.929	0.239
16.417	24.108	0.239
16.433	23.239	0.239
16.450	22.460	0.239
16.467	22.256	0.239
16.483	21.639	0.239
16.500	21.468	0.239
16.517	21.059	0.239
16.533	20.668	0.239
16.550	20.089	0.239
16.567	19.838	0.239
16.583	19.820	0.239
16.600	19.939	0.239
16.617	20.259	0.239
16.633	20.854	0.239
16.650	21.420	0.239
16.667	21.969	0.239
16.683	22.569	0.239
16.700	23.203	0.239
16.717	23.828	0.239
16.733	24.356	0.239
16.750	25.173	0.239
16.767	25.977	0.239
16.783	26.535	0.239
16.800	27.156	0.239
16.817	27.956	0.239
16.833	28.726	0.239
16.850	29.450	0.239
16.867	30.088	0.239
16.883	30.624	0.239
16.900	31.067	0.239
16.917	31.403	0.239
