x-axis,NO_LBL,2
second,Volt,Volt
-3.895000E-06,+1.466026857523E+00,+35.700384504E-03
-3.890000E-06,+1.471466848466E+00,+34.754705568E-03
-3.885000E-06,+1.462227330041E+00,+35.814478135E-03
-3.880000E-06,+1.471648686604E+00,+36.226674735E-03
-3.875000E-06,+1.480650126738E+00,+36.422293972E-03
-3.870000E-06,+1.481983832579E+00,+39.487306954E-03
-3.865000E-06,+1.425394251214E+00,+37.390001559E-03
-3.860000E-06,+1.203886299751E+00,+27.398900577E-03
-3.855000E-06,+745.468058244E-03,-13.366721988E-03
-3.850000E-06,+148.866025393E-03,-78.682905547E-03
-3.845000E-06,-394.610698932E-03,-157.479461901E-03
-3.840000E-06,-774.218391898E-03,-215.228887120E-03
-3.835000E-06,-962.893929722E-03,-250.682212539E-03
-3.830000E-06,-1.053270951892E+00,-263.424889422E-03
-3.825000E-06,-1.152737770041E+00,-272.180561592E-03
-3.820000E-06,-1.269206077089E+00,-290.229685440E-03
-3.815000E-06,-1.398195055653E+00,-291.056596631E-03
-3.810000E-06,-1.476400532516E+00,-290.984811277E-03
-3.805000E-06,-1.486949029208E+00,-270.636746759E-03
-3.800000E-06,-1.473706508537E+00,-271.004418648E-03
-3.795000E-06,-1.468201984656E+00,-281.220585789E-03
-3.790000E-06,-1.497927393669E+00,-296.794841322E-03
-3.785000E-06,-1.543768999192E+00,-298.326744702E-03
-3.780000E-06,-1.561852922577E+00,-273.407335752E-03
-3.775000E-06,-1.537659931354E+00,-256.764577612E-03
-3.770000E-06,-1.521417156805E+00,-246.268023904E-03
-3.765000E-06,-1.522796096013E+00,-272.212466194E-03
-3.760000E-06,-1.531769114515E+00,-281.542330732E-03
-3.755000E-06,-1.548925452310E+00,-290.630739554E-03
-3.750000E-06,-1.539355654913E+00,-276.128198197E-03
-3.745000E-06,-1.525623106094E+00,-264.864290565E-03
-3.740000E-06,-1.534451151652E+00,-268.335695198E-03
-3.735000E-06,-1.542173844487E+00,-262.766502680E-03
-3.730000E-06,-1.552914733768E+00,-271.321730721E-03
-3.725000E-06,-1.549119503456E+00,-247.113631554E-03
-3.720000E-06,-1.534049177793E+00,-250.594897062E-03
-3.715000E-06,-1.534389483494E+00,-234.397778058E-03
-3.710000E-06,-1.539055531520E+00,-247.976548506E-03
-3.705000E-06,-1.539116898122E+00,-245.432759617E-03
-3.700000E-06,-1.539330851950E+00,-241.806219611E-03
-3.695000E-06,-1.534645127410E+00,-242.627778187E-03
-3.690000E-06,-1.539051008183E+00,-222.207445826E-03
-3.685000E-06,-1.541049418359E+00,-238.372584839E-03
-3.680000E-06,-1.541080026271E+00,-220.423019633E-03
-3.675000E-06,-1.539239932881E+00,-241.205445101E-03
-3.670000E-06,-1.532787166839E+00,-220.876016731E-03
-3.665000E-06,-1.537688880709E+00,-229.067508186E-03
-3.660000E-06,-1.536621448625E+00,-218.942456126E-03
-3.655000E-06,-1.536369046434E+00,-215.678597260E-03
-3.650000E-06,-1.546027953565E+00,-220.890521564E-03
-3.645000E-06,-1.534602758822E+00,-202.228123720E-03
-3.640000E-06,-1.543487044534E+00,-217.155964276E-03
-3.635000E-06,-1.534807892144E+00,-192.554244345E-03
-3.630000E-06,-1.538690875189E+00,-215.359144141E-03
-3.625000E-06,-1.537066092628E+00,-196.623799953E-03
-3.620000E-06,-1.538366174999E+00,-213.335312812E-03
-3.615000E-06,-1.551007996550E+00,-197.838089703E-03
-3.610000E-06,-1.542302759584E+00,-192.518283817E-03
-3.605000E-06,-1.542845861550E+00,-195.256078619E-03
